code,name
AAPL,Apple Inc.
MSFT,Microsoft Corporation
GOOGL,Alphabet Inc.
AMZN,"Amazon.com, Inc."
TSLA,"Tesla, Inc."
META,"Meta Platforms, Inc."
NVDA,NVIDIA Corporation
JPM,JPMorgan Chase & Co.
V,Visa Inc.
WMT,Walmart Inc.
PG,The Procter & Gamble Company
KO,The Coca-Cola Company
JNJ,Johnson & Johnson
PFE,Pfizer Inc.
MRK,"Merck & Co., Inc."
DIS,The Walt Disney Company
NFLX,"Netflix, Inc."
INTC,Intel Corporation
CSCO,"Cisco Systems, Inc."
ORCL,Oracle Corporation
IBM,International Business Machines Corporation
AMD,"Advanced Micro Devices, Inc."
BA,The Boeing Company
CAT,Caterpillar Inc.
GE,GE Aerospace
XOM,Exxon Mobil Corporation
CVX,Chevron Corporation
COP,ConocoPhillips
SLB,SLB N.V.
OXY,Occidental Petroleum Corporation
